指標名,ホール・劇場,,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,,
年次,2024年3月末,,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件、2024年度：469件）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯,施設種別
千代田区,一番町,-,東京都千代田区一番町12,35.68676,139.7394,いきいきプラザ一番町〔カスケードホール〕,03-3265-6311,http://www.ikiikiplaza-eiwa.jp/sub/plaza_B1F.html,198,198,昇降ステージ,シューボックス形式,ロールバックチェア,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","一般に貸出している, 利用条件の設定",,9:00～22:00,ホール・劇場
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-16-2,35.67614,139.74051,星陵会館〔ホール〕,03-3581-5650,http://www.seiryokai.org/kaikan.html,400,400,プロセニアム形式,"アリーナ・平土間形式, 扇型形式","固定席, 可動席（スタッキングチェア）","日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会","日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,9:00～21:00,ホール・劇場
千代田区,神田猿楽町２丁目,-,東京都千代田区猿楽町2-5-5,35.69996,139.75858,在日本韓国YMCA アジア青少年センター 　YMCA Hotel〔スペースYホール〕,03-3233-0611,http://www.ymcajapan.org/ayc/hotel/jp/index.html,,,,,,,,,,,ホール・劇場
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞が関3-2-1,35.67119,139.74791,霞が関コモンゲート〔霞が関ナレッジスクエア〕,03-3288-1921 ,https://www.kk2.ne.jp,100,100,可動式簡易ステージ,シューボックス形式,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,7:30～22:00,ホール・劇場
千代田区,外神田１丁目,-,東京都千代田区外神田1-7-6,35.69957,139.77014,ＡＫＩＢＡカルチャーズ劇場,非公開,http://akibalive.jp/,220,298,,,固定席,"ポップス, ダンス・パフォーマンス, プレスリリース","ポップス, ダンス・パフォーマンス, プレスリリース",一般に貸出している,,9:00～23:00,ホール・劇場
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.70213,139.76772,神田明神文化交流館・神田明神ホール,03-3526-4301,http://myoujin-hall.jp/,407,,オープン形式,アリーナ・平土間形式,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会",,一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,外神田３丁目,-,東京都千代田区外神田3-2-12,35.70047,139.76984,Ｔｗｉｎ Ｂｏｘ ＡＫＩＨＡＢＡＲＡ,03-3525-4466,http://tb-akihabara.com/,,,,,,,,,,,ホール・劇場
千代田区,外神田３丁目,-,東京都千代田区外神田3-2-12,35.70047,139.76984,Ｔｗｉｎ Ｂｏｘ ＧＡＲＡＧＥ,03-3525-4466,http://tp-co.jp/output/twin-box-akihabara-garage/,,,,,,,,,,,ホール・劇場
千代田区,外神田３丁目,-,東京都千代田区外神田3-2-14,35.70047,139.76984,秋葉原ZEST,03-3527-1701,http://akihabarazest.com/,,,,,,,,,,,ホール・劇場
千代田区,外神田６丁目,-,東京都千代田区外神田6-11-14,35.70415,139.7708,ちよだアートスクエア（アーツ千代田3331）〔コミュニティスペース〕,非公開,https://www.city.chiyoda.jp/koho/bunka/bunka/bunkashisetsu/art-square/index.html/,,,,,,,,,,,ホール・劇場
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-1-1,35.67906,139.76184,明治安田ホール丸の内,03-5219-5602,http://www.myplaza.jp/about.html,,,オープン形式,シューボックス形式,,"講演会, セミナー, 株主総会",,一般に貸出している,,,ホール・劇場
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-4-1,35.68105,139.76379,丸ビルホール＆コンファレンススクエア〔丸ビルホール〕,03-3217-7111,http://www.marunouchi-hc.jp/hc-marubiru/,,,,,,,,,,,ホール・劇場
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-3,35.67908,139.76468,東京ＣＯＴＴＯＮ ＣＬＵＢ,03-3215-1555,http://www.cottonclubjapan.co.jp/,,,,,,,,,,,ホール・劇場
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-1-1,35.67675,139.76108,帝国劇場,03-3213-7221,https://www.toho.co.jp/stage/teigeki/index.php,1951,1951,プロセニアム形式,シューボックス形式,固定席,"演劇, ミュージカル","演劇, ミュージカル",,,10:00～18:00,ホール・劇場
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5-1,35.67685,139.76387,東京国際フォーラム〔ホールA〕,03-5221-9000,https://www.t-i-forum.co.jp/,5012,,プロセニアム形式,扇型形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5-1,35.67685,139.76387,東京国際フォーラム〔ホールB7〕,03-5221-9000,https://www.t-i-forum.co.jp/,,,なし,アリーナ・平土間形式,,"能・狂言, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, 展示会, パーティ, お別れ会, ファッションショー","日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 講演会, 展示会, パーティ, お別れ会, ファッションショー",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5-1,35.67685,139.76387,東京国際フォーラム〔ホールC〕,03-5221-9000,https://www.t-i-forum.co.jp/,1502,,プロセニアム形式,シューボックス形式,固定席,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-5-1,35.67685,139.76387,東京国際フォーラム〔ホールD7〕,03-5221-9000,https://www.t-i-forum.co.jp/,180,,なし,アリーナ・平土間形式,ロールバックチェア,"演劇, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, パーティ, ファッションショー","演劇, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会, パーティ, ファッションショー",一般に貸出している,,0:00～24:00,ホール・劇場
千代田区,岩本町２丁目,-,東京都千代田区岩本町2-15-3,35.69454,139.77789,岩本町ほほえみプラザ〔多目的ホールＡ〕,03-5825-3407,http://www.tama-dhk.or.jp/iwamoto/jigyou_plaza.html,,,,,,講演会,,,,,ホール・劇場
千代田区,岩本町２丁目,-,東京都千代田区岩本町2-15-3,35.69454,139.77789,岩本町ほほえみプラザ〔多目的ホールＢ〕,03-5825-3407,http://www.tama-dhk.or.jp/iwamoto/jigyou_plaza.html,,,,,,講演会,,,,,ホール・劇場
千代田区,岩本町２丁目,-,東京都千代田区岩本町2-16-5,35.69455,139.7784,Ｔｏｋｙｏ ＴＵＣ,03-3866-8393,http://tokyotuc.jp/,,,,,,,,,,,ホール・劇場
千代田区,岩本町３丁目,-,東京都千代田区岩本町3-7-11,35.69597,139.77777,LIVE GARAGE 秋田犬（あきたいぬ）,03-3863-8678,http://www.akitainu-garage.com/,,,,,,,,,,,ホール・劇場
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-29,35.68152,139.73779,紀尾井町サロンホール,03-6272-4711,http://www.ark-home.jp/hall/,80,90,オープン形式,シューボックス形式,可動席（スタッキングチェア）,"ポップス, クラシック, ジャズ, ミュージカル, 日本の伝統音楽（邦楽等）, お笑い・寄席・演芸, オペラ, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, ジャズ, 演劇, ミュージカル, 歌舞伎, 能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽, お笑い・寄席・演芸, オペラ, 合唱, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～21:00,ホール・劇場
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町6-5,35.68225,139.73257,紀尾井ホール〔紀尾井ホール〕,03-5276-4500,https://kioihall.jp,800,800,オープン形式,シューボックス形式,固定席,"クラシック, ジャズ, オペラ, 合唱","クラシック, ジャズ, オペラ, 合唱",一般に貸出している,,9:00～21:30,ホール・劇場
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町6-5,35.68225,139.73257,紀尾井ホール〔紀尾井小ホール〕,03-5276-4500,https://kioihall.jp,250,250,オープン形式,シューボックス形式,固定席,"能・狂言, 日本の伝統音楽（邦楽等）, 世界の民族音楽","能・狂言, 日本の伝統音楽（邦楽等）",一般に貸出している,,9:00～21:30,ホール・劇場
千代田区,九段南１丁目,-,東京都千代田区九段南1-5-10,35.69513,139.75169,千代田区立九段生涯学習館〔レクリエーションホール〕,03-3234-2841,http://www.kudan-ll.info/,,,なし,,,,,,,,ホール・劇場
千代田区,九段南２丁目,-,東京都千代田区九段南2-1-30,35.69249,139.7468,イタリア文化会館 アニェッリホール,03-3264-6011,http://www.iictokyo.esteri.it/IIC_Tokyo/Menu/Istituto/La_sede/,,,,,,,,,,,ホール・劇場
千代田区,麹町１丁目,-,東京都千代田区麹町1-7,35.68346,139.74324,TOKYO FM ホール,03-3221-0080,http://www.tfmhall.jp/,308,308,オープン形式,アリーナ・平土間形式,可動席（スタッキングチェア）,"ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会, 展示会","ポップス, クラシック, 演歌・歌謡曲, ジャズ, 演劇, ミュージカル, お笑い・寄席・演芸, バレエ, オペラ, ダンス・パフォーマンス, 合唱, 映像上映会（試写会など）, 講演会",,,,ホール・劇場
千代田区,三番町,-,東京都千代田区三番町6-16,35.69126,139.74527,二松学舎大学　中洲記念講堂,03-3261-7407,http://www.nishogakusha-u.ac.jp/,415,415,オープン形式,シューボックス形式,固定席,講演会,講演会,一般への貸出はしていない,,,ホール・劇場
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸55,35.69705,139.7778,秋葉原ＣＬＵＢ ＧＯＯＤＭＡＮ,03-3862-9010,http://clubgoodman.com/,,,,,,,,,,,ホール・劇場
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-1,35.69771,139.7614,明治大学 アカデミーホール,03-3296-4337,http://www.meiji.ac.jp/kanzai/academyhall.html,1055,1055,プロセニアム形式,シューボックス形式,固定席,講演会,講演会,一般への貸出はしていない,,9:00～21:00,ホール・劇場
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台1-8-11,35.69802,139.76324,東京YWCA会館〔カフマンホール〕,03-3293-5423,http://www.tokyo.ywca.or.jp/kashikaijo/,,,,,,,,,,,ホール・劇場
千代田区,神田駿河台３丁目,-,東京都千代田区神田駿河台3-6,35.697,139.76581,全電通ホール,03-3219-2211,http://www.zhall.or.jp/index.html,464,464,オープン形式,"シューボックス形式, 扇型形式",ロールバックチェア,"ポップス, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会","ポップス, 演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）, 講演会, 展示会",一般に貸出している,,9:00～21:00,ホール・劇場
千代田区,神田小川町１丁目,-,東京都千代田区神田小川町1-4,35.69531,139.76656,Ｚｉｐｐａｌ Ｈａｌｌ,070-5599-4157,http://www.miyaji.co.jp/zippalhall/,,,,,,"ポップス, 演歌・歌謡曲, 演劇, お笑い・寄席・演芸, 映像上映会（試写会など）, 講演会, 展示会","ポップス, 演歌・歌謡曲",一般に貸出している,,11:00～22:00,ホール・劇場
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-23,35.69504,139.76099,神保町花月（神保町シアタービル）,03-3219-0678,http://www.yoshimoto.co.jp/jimbocho/,126,136,プロセニアム形式,シューボックス形式,固定席,"演劇, お笑い・寄席・演芸, ダンス・パフォーマンス, 映像上映会（試写会など）","演劇, お笑い・寄席・演芸, ダンス・パフォーマンス",一般に貸出している,,11:00～21:00,ホール・劇場
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-4-6,35.69479,139.76788,神田THE SHOJIMARU,03-6206-9596,http://fukumarurec.wixsite.com/shojimaru,60,100,プロセニアム形式,アリーナ・平土間形式,可動席（スタッキングチェア）,,,,,,ホール・劇場
